Date,Market and Exchange Names,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All)
16/09/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,7578,1363,522,2051,1953,4134,5073
23/09/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,5684,1413,343,954,2017,3287,3294
30/09/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,5874,1413,1297,1220,319,3211,4228
07/10/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,7368,2378,343,1348,1370,3612,5625
14/10/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,9638,3864,643,1226,3604,4518,5361
21/10/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,12786,6410,333,1321,6167,5025,6256
28/10/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,14967,6590,330,1895,7286,6452,7321
04/11/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,15555,8385,811,1677,8342,5463,6372
11/11/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,15798,9655,810,1186,9063,4927,5895
18/11/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,17032,10845,860,760,9726,5397,6416
25/11/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,17147,10890,926,776,9928,5451,6263
02/12/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,17369,11155,1136,766,9914,5418,6289
09/12/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,18862,11904,355,1116,2373,5812,16104
16/12/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,20585,11895,355,1121,2418,7539,17782
19/12/1997,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,20130,903,355,1092,2405,18135,17370
13/01/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,8506,1326,1395,0,975,7180,6136
20/01/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,8442,1840,2180,0,970,6602,5292
27/01/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,10946,1145,3855,0,1167,9801,5924
03/02/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,12043,1674,4402,0,1333,10369,6308
10/02/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,14188,1530,5868,1015,1127,11643,7193
17/02/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,14991,2444,7095,685,1177,11862,6719
24/02/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,17256,0,8691,599,1336,16657,7229
03/03/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,18250,1788,8946,694,1739,15347,7144
10/03/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,20361,1940,10427,1229,1782,16783,7743
17/03/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,22048,1893,10698,1647,2396,17322,7768
24/03/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,8050,3044,2006,515,0,4461,6014
31/03/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,9323,3193,2732,515,0,5510,6486
07/04/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,10516,970,3957,515,326,9031,6233
14/04/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,11428,1478,4459,830,441,9101,6509
21/04/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,12715,2559,5276,974,556,8902,6603
28/04/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,14162,1481,6491,1064,561,11557,7050
05/05/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,14545,989,7326,1018,526,12408,6563
12/05/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,15758,355,8158,1170,822,14233,6778
19/05/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,17015,1045,8473,1374,1123,14586,7409
26/05/1998,E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET,18168,1608,9693,1374,1935,15186,6540
