   ,Market and Exchange Names,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All)
15/01/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,1105,2,56,462,641,415,182
31/01/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,1438,101,46,934,1017,203,175
14/02/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,1279,35,0,964,991,80,88
28/02/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,1185,0,0,962,966,123,119
14/03/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,1023,37,0,945,980,41,43
30/06/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,721,0,0,33,36,462,459
15/07/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,460,0,0,33,74,181,140
31/07/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,647,0,0,62,75,323,310
15/08/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,613,0,30,62,0,400,432
29/08/1986,EUROPEAN CURRENCY UNIT - INTERNATIONAL MONETARY MARKET,383,125,0,62,60,46,173
05/01/1999,EURO FX - INTERNATIONAL MONETARY MARKET,2091,0,240,0,1428,2091,423
12/01/1999,EURO FX - INTERNATIONAL MONETARY MARKET,8241,1717,1277,1849,2984,4675,3980
19/01/1999,EURO FX - INTERNATIONAL MONETARY MARKET,6184,1256,283,1647,3480,3281,2421
26/01/1999,EURO FX - INTERNATIONAL MONETARY MARKET,6850,1256,270,2431,3519,3163,3061
02/02/1999,EURO FX - INTERNATIONAL MONETARY MARKET,27050,1930,12284,14133,5741,10987,9025
09/02/1999,EURO FX - INTERNATIONAL MONETARY MARKET,30301,438,13561,19827,6795,10036,9945
16/02/1999,EURO FX - INTERNATIONAL MONETARY MARKET,30110,450,15481,19118,4702,10542,9927
23/02/1999,EURO FX - INTERNATIONAL MONETARY MARKET,37157,280,17425,24049,4669,12828,15063
02/03/1999,EURO FX - INTERNATIONAL MONETARY MARKET,35989,2130,15704,20976,3364,12883,16921
09/03/1999,EURO FX - INTERNATIONAL MONETARY MARKET,44090,4730,13674,24203,9521,15097,20835
